year,MONTH,TOTAL ARRIVALS,CANADA,MEXICO,TOTAL OVERSEAS,EUROPE,LATIN AMERICA (EXCL MEXICO),ASIA,MIDDLE EAST,AFRICA,OCEANIA,FRANCE,GERMANY,IRELAND,ITALY,NETHERLANDS,RUSSIA,SPAIN,SWEDEN,SWITZERLAND,UNITED KINGDOM,INDIA,JAPAN,SOUTH KOREA,PRC (EXCL HK),ROC (TAIWAN),AUSTRALIA,ARGENTINA,BRAZIL,COLOMBIA,VENEZUELA
2006,AUGUST,"4,597,807","2,003,643","522,149","2,072,655","882,426","40,526","629,295","59,768","30,261","64,757","161,135","51,810","152,677","82,903","131,320","83,455","35,692","54,737","16,308","20,108","350,471","369,494","84,370","46,504","32,830","49,271","15,653","34,220","25,510","45,700"
2006,SEPTEMBER,"3,653,145","1,316,822","420,937","1,915,993","885,209","39,775","542,012","49,612","22,423","84,791","156,050","50,311","85,810","64,983","145,528","37,600","41,360","36,012","22,217","26,055","396,909","327,205","66,193","44,223","25,749","67,106","18,644","39,864","22,278","34,072"
2006,OCTOBER,"3,572,079","1,242,753","428,690","1,900,634","933,990","37,923","498,123","48,080","18,196","60,789","158,881","56,401","88,251","78,446","134,776","43,277","45,348","36,901","32,207","27,877","398,783","306,553","54,800","39,636","21,110","48,467","18,721","44,948","25,072","29,960"
2006,NOVEMBER,"3,334,861","1,143,081","503,799","1,687,972","769,328","33,621","462,110","38,449","16,701","48,991","145,416","69,680","103,676","57,205","100,457","39,948","33,144","31,775","23,492","20,256","345,040","294,841","49,891","35,356","15,923","40,695","15,412","35,127","26,976","31,314"
2006,DECEMBER,"3,695,369","1,007,315","760,973","1,927,076","839,572","40,883","484,380","42,507","26,312","73,773","225,104","80,590","113,955","70,395","102,022","60,755","36,943","44,991","26,028","22,173","356,760","287,105","62,815","32,241","18,480","61,380","17,078","59,366","49,106","57,979"
2005,JANUARY,"2,630,190","974,464","234,183","1,421,543","569,946","29,588","481,751","38,205","15,626","52,459","126,856","49,093","58,019","49,330","73,575","33,289","26,196","19,943","19,552","14,402","251,760","297,043","68,439","32,062","26,574","43,983","15,243","43,666","16,895","19,364"
2005,FEBRUARY,"2,592,882","922,444","222,538","1,447,900","681,902","23,205","448,076","26,493","12,116","38,542","118,988","45,937","52,641","66,555","92,485","29,271","28,400","20,745","21,768","16,431","312,758","306,482","47,573","28,734","22,622","31,625","15,061","31,898","14,304","18,978"
2005,MARCH,"3,785,309","1,485,918","489,806","1,809,585","896,898","30,152","490,680","35,159","16,517","50,451","142,150","58,872","88,706","57,402","131,354","39,437","29,847","36,324","30,734","21,058","425,232","330,898","45,616","27,691","19,953","41,461","14,127","31,766","25,799","28,145"
2005,APRIL,"3,231,539","1,246,838","260,340","1,724,361","863,689","35,267","455,291","43,221","18,593","55,494","127,916","51,285","73,605","95,695","111,917","42,498","40,671","27,327","26,348","23,245","392,895","278,239","48,850","27,084","20,233","42,562","14,734","35,762","18,884","23,110"
2005,MAY,"3,421,369","1,303,905","301,902","1,815,562","814,325","37,513","536,986","42,679","24,125","70,532","155,620","57,476","76,306","71,814","147,637","38,738","43,323","26,722","23,356","22,172","336,738","307,783","60,066","36,673","27,701","55,791","19,023","41,604","25,308","24,901"
2005,JUNE,"3,312,134","1,058,989","360,083","1,893,062","800,797","51,482","561,689","53,186","27,528","73,260","161,151","64,549","99,420","70,130","106,137","46,977","35,751","34,182","30,502","19,968","332,836","322,308","68,844","37,656","35,135","56,832","15,402","39,275","43,876","22,941"
2005,JULY,"4,647,303","1,734,126","696,391","2,216,786","991,430","47,232","580,955","64,309","26,912","67,445","209,177","66,318","163,008","110,297","139,843","61,395","57,755","42,154","21,234","32,137","392,248","336,460","80,141","41,388","43,614","48,722","22,594","61,726","38,837","30,191"
2005,AUGUST,"4,289,177","1,859,382","384,406","2,045,389","880,745","38,153","616,368","57,003","30,778","61,168","162,181","53,170","145,823","94,161","128,484","91,189","35,706","48,492","15,750","18,137","353,318","369,235","80,891","43,460","36,030","46,671","14,537","33,303","26,026","43,122"
2005,SEPTEMBER,"3,463,853","1,217,481","303,401","1,942,971","898,265","40,176","568,440","49,961","23,070","83,700","147,049","50,416","81,894","64,409","148,395","38,054","40,888","32,153","23,529","23,458","411,818","376,017","53,737","36,831","27,299","65,182","16,648","37,717","22,103","31,053"
2005,OCTOBER,"3,304,422","1,139,253","294,473","1,870,696","938,054","35,290","509,964","45,284","17,545","57,806","140,255","52,948","73,550","77,901","141,249","39,996","43,470","30,411","32,125","27,197","419,261","332,630","50,346","34,849","22,481","45,111","15,188","42,352","22,602","23,291"
2005,NOVEMBER,"3,006,121","1,029,277","385,583","1,591,261","731,466","29,110","451,146","33,421","14,551","53,014","123,311","64,030","91,212","56,382","94,663","35,608","31,259","26,158","21,947","18,628","347,205","308,046","43,692","28,833","16,797","43,496","11,375","29,597","23,766","27,395"
2005,DECEMBER,"3,464,238","892,664","672,162","1,899,412","812,417","35,534","496,741","38,440","24,835","72,969","205,661","82,113","130,702","64,572","99,791","49,094","35,384","41,029","23,685","19,897","368,888","318,765","56,898","30,119","20,447","60,337","14,933","56,707","46,998","47,824"
