,,Jan-99,Feb-99,Mar-99,Apr-99,May-99,Jun-99,Jul-99,Aug-99,Sep-99,Oct-99,Nov-99,Dec-99,Jan-00,Feb-00,Mar-00,Apr-00,May-00,Jun-00,Jul-00,Aug-00,Sep-00,Oct-00,Nov-00,Dec-00,1-Jan,1-Feb,1-Mar,1-Apr,1-May,1-Jun,1-Jul,1-Aug,1-Sep,1-Oct,1-Nov,1-Dec,2-Jan,2-Feb,2-Mar,2-Apr,2-May,2-Jun,2-Jul,2-Aug,2-Sep,2-Oct,2-Nov,2-Dec,3-Jan,3-Feb,3-Mar,3-Apr,3-May,3-Jun,3-Jul,3-Aug,3-Sep,3-Oct,3-Nov,3-Dec,4-Jan,4-Feb,4-Mar,4-Apr,4-May,4-Jun,4-Jul,4-Aug,4-Sep,4-Oct,4-Nov,4-Dec,5-Jan,5-Feb,5-Mar,5-Apr,5-May,5-Jun,5-Jul,5-Aug,5-Sep,5-Oct,5-Nov,5-Dec,6-Jan,6-Feb,6-Mar,6-Apr,6-May,6-Jun,6-Jul,6-Aug,6-Sep,6-Oct,6-Nov,6-Dec,7-Jan,7-Feb,7-Mar,7-Apr,7-May,7-Jun,7-Jul,7-Aug,7-Sep,7-Oct,7-Nov,7-Dec,8-Jan,8-Feb,8-Mar,8-Apr,8-May,8-Jun,8-Jul,8-Aug,8-Sep,8-Oct,8-Nov,8-Dec,9-Jan,9-Feb,9-Mar,9-Apr,9-May,9-Jun,9-Jul,9-Aug,9-Sep,9-Oct,9-Nov,9-Dec,10-Jan,10-Feb,10-Mar,10-Apr,10-May,10-Jun,10-Jul,10-Aug,10-Sep,10-Oct,10-Nov,10-Dec,11-Jan,11-Feb,11-Mar,11-Apr,11-May,11-Jun,11-Jul,11-Aug,11-Sep,11-Oct,11-Nov,11-Dec,12-Jan,12-Feb,12-Mar,12-Apr,12-May,12-Jun,12-Jul,12-Aug,12-Sep,12-Oct,12-Nov,12-Dec,13-Jan,13-Feb,13-Mar,13-Apr,13-May,13-Jun,13-Jul,13-Aug,13-Sep,13-Oct,13-Nov,13-Dec,14-Jan,14-Feb,14-Mar,14-Apr,14-May,14-Jun,14-Jul,14-Aug,14-Sep,14-Oct,14-Nov,14-Dec,15-Jan,15-Feb,15-Mar,15-Apr,15-May,15-Jun,15-Jul,15-Aug,15-Sep,15-Oct,15-Nov,15-Dec,16-Jan,16-Feb,16-Mar,16-Apr,16-May,16-Jun,16-Jul,16-Aug,16-Sep,16-Oct,16-Nov,16-Dec,17-Jan
Exports (Receipts),Total Travel and Tourism-Related Exports,"$8,937 ","$8,976 ","$9,212 ","$8,948 ","$9,102 ","$9,209 ","$9,531 ","$9,545 ","$9,759 ","$9,690 ","$9,916 ","$8,936 ","$9,546 ","$9,958 ","$9,844 ","$10,502 ","$9,968 ","$10,157 ","$10,118 ","$10,017 ","$10,171 ","$9,905 ","$10,135 ","$10,064 ","$10,035 ","$9,691 ","$9,721 ","$9,308 ","$9,157 ","$9,304 ","$9,386 ","$9,660 ","$6,918 ","$6,496 ","$6,891 ","$7,346 ","$7,909 ","$8,127 ","$8,319 ","$8,092 ","$8,294 ","$8,304 ","$8,036 ","$8,329 ","$8,085 ","$8,154 ","$8,212 ","$8,297 ","$7,863 ","$7,805 ","$7,398 ","$6,967 ","$7,496 ","$7,681 ","$8,023 ","$8,199 ","$8,337 ","$8,438 ","$8,578 ","$8,638 ","$8,674 ","$9,042 ","$9,199 ","$9,206 ","$9,084 ","$9,170 ","$9,331 ","$9,166 ","$9,182 ","$9,207 ","$9,441 ","$9,615 ","$9,881 ","$10,101 ","$10,272 ","$10,364 ","$10,228 ","$10,168 ","$10,159 ","$10,004 ","$10,341 ","$10,295 ","$9,994 ","$10,270 ","$10,480 ","$9,997 ","$10,174 ","$10,431 ","$10,563 ","$10,356 ","$10,752 ","$10,732 ","$10,801 ","$10,696 ","$10,850 ","$10,946 ","$11,134 ","$10,975 ","$11,523 ","$11,390 ","$11,609 ","$11,729 ","$11,921 ","$12,160 ","$12,256 ","$13,028 ","$13,188 ","$13,310 ","$13,510 ","$13,583 ","$14,061 ","$13,622 ","$14,439 ","$14,458 ","$14,205 ","$14,158 ","$13,461 ","$13,497 ","$12,717 ","$13,008 ","$12,211 ","$12,012 ","$11,854 ","$12,013 ","$11,780 ","$11,810 ","$12,122 ","$12,303 ","$12,275 ","$12,527 ","$12,445 ","$12,653 ","$13,023 ","$13,233 ","$13,465 ","$13,112 ","$13,933 ","$14,087 ","$14,253 ","$14,229 ","$14,508 ","$14,713 ","$14,610 ","$14,830 ","$14,850 ","$14,669 ","$15,102 ","$15,598 ","$15,796 ","$15,979 ","$16,066 ","$15,976 ","$15,786 ","$15,960 ","$15,964 ","$15,885 ","$15,688 ","$16,310 ","$16,628 ","$16,799 ","$16,808 ","$16,952 ","$16,636 ","$17,170 ","$17,080 ","$16,606 ","$17,141 ","$17,177 ","$17,746 ","$17,768 ","$18,012 ","$17,953 ","$17,973 ","$18,090 ","$18,462 ","$17,967 ","$18,360 ","$18,520 ","$18,676 ","$18,970 ","$19,071 ","$19,125 ","$19,008 ","$19,186 ","$19,427 ","$19,527 ","$19,732 ","$19,897 ","$20,042 ","$20,085 ","$20,039 ","$20,256 ","$20,225 ","$20,083 ","$20,230 ","$20,311 ","$20,597 ","$20,978 ","$20,715 ","$20,593 ","$20,650 ","$20,515 ","$20,671 ","$20,660 ","$20,608 ","$20,389 ","$20,532 ","$20,052 ","$19,983 ","$20,098 ","$20,235 ","$20,519 ","$20,944 ","$20,756 ","$20,885 ","$20,983 ","$20,828 "
Exports (Receipts),Travel Receipts (for all purposes including education),"$7,386 ","$7,412 ","$7,577 ","$7,382 ","$7,505 ","$7,595 ","$7,889 ","$7,888 ","$8,036 ","$8,028 ","$8,206 ","$7,432 ","$7,988 ","$8,280 ","$8,213 ","$8,677 ","$8,279 ","$8,461 ","$8,452 ","$8,343 ","$8,448 ","$8,225 ","$8,414 ","$8,408 ","$8,304 ","$8,097 ","$8,134 ","$7,766 ","$7,595 ","$7,720 ","$7,779 ","$7,968 ","$5,888 ","$5,469 ","$5,817 ","$6,195 ","$6,582 ","$6,779 ","$6,962 ","$6,796 ","$6,882 ","$6,912 ","$6,706 ","$6,871 ","$6,763 ","$6,807 ","$6,861 ","$6,946 ","$6,622 ","$6,563 ","$6,239 ","$5,908 ","$6,344 ","$6,469 ","$6,747 ","$6,887 ","$7,023 ","$7,110 ","$7,196 ","$7,224 ","$7,279 ","$7,591 ","$7,725 ","$7,699 ","$7,607 ","$7,721 ","$7,781 ","$7,599 ","$7,652 ","$7,775 ","$7,920 ","$8,036 ","$8,323 ","$8,514 ","$8,633 ","$8,667 ","$8,500 ","$8,466 ","$8,328 ","$8,233 ","$8,531 ","$8,491 ","$8,276 ","$8,506 ","$8,654 ","$8,296 ","$8,429 ","$8,650 ","$8,760 ","$8,574 ","$8,906 ","$8,893 ","$8,933 ","$8,904 ","$9,029 ","$9,112 ","$9,262 ","$9,115 ","$9,550 ","$9,468 ","$9,646 ","$9,748 ","$9,831 ","$10,058 ","$10,063 ","$10,659 ","$10,798 ","$10,838 ","$11,048 ","$11,140 ","$11,501 ","$11,168 ","$11,844 ","$11,682 ","$11,480 ","$11,369 ","$10,881 ","$10,956 ","$10,259 ","$10,434 ","$9,779 ","$9,708 ","$9,614 ","$9,774 ","$9,711 ","$9,720 ","$10,036 ","$10,171 ","$10,161 ","$10,420 ","$10,341 ","$10,467 ","$10,791 ","$10,879 ","$11,015 ","$10,781 ","$11,335 ","$11,367 ","$11,496 ","$11,578 ","$11,758 ","$11,934 ","$11,908 ","$12,168 ","$12,041 ","$11,926 ","$12,217 ","$12,658 ","$12,771 ","$12,964 ","$12,815 ","$12,711 ","$12,578 ","$12,724 ","$12,743 ","$12,720 ","$12,602 ","$13,077 ","$13,294 ","$13,466 ","$13,392 ","$13,553 ","$13,369 ","$13,865 ","$13,855 ","$13,425 ","$13,850 ","$13,883 ","$14,416 ","$14,455 ","$14,638 ","$14,580 ","$14,571 ","$14,697 ","$14,961 ","$14,604 ","$14,908 ","$15,103 ","$15,193 ","$15,358 ","$15,583 ","$15,711 ","$15,565 ","$15,525 ","$15,763 ","$15,853 ","$15,996 ","$16,079 ","$16,233 ","$16,272 ","$16,324 ","$16,420 ","$16,557 ","$16,568 ","$16,712 ","$16,836 ","$17,118 ","$17,452 ","$17,240 ","$17,198 ","$17,274 ","$17,126 ","$17,196 ","$17,247 ","$17,160 ","$17,103 ","$17,125 ","$16,823 ","$16,863 ","$16,952 ","$17,147 ","$17,385 ","$17,803 ","$17,483 ","$17,474 ","$17,518 ","$17,429 "
Exports (Receipts),Travel Spending,"$6,014 ","$6,035 ","$6,192 ","$5,991 ","$6,105 ","$6,186 ","$6,479 ","$6,473 ","$6,614 ","$6,595 ","$6,770 ","$5,996 ","$6,558 ","$6,848 ","$6,768 ","$7,219 ","$6,806 ","$6,981 ","$6,968 ","$6,852 ","$6,944 ","$6,694 ","$6,869 ","$6,856 ","$6,745 ","$6,542 ","$6,577 ","$6,199 ","$6,017 ","$6,131 ","$6,176 ","$6,352 ","$4,253 ","$3,806 ","$4,136 ","$4,515 ","$4,895 ","$5,088 ","$5,255 ","$5,072 ","$5,147 ","$5,178 ","$4,972 ","$5,138 ","$5,021 ","$5,045 ","$5,092 ","$5,186 ","$4,839 ","$4,771 ","$4,443 ","$4,118 ","$4,560 ","$4,683 ","$4,945 ","$5,070 ","$5,200 ","$5,287 ","$5,375 ","$5,397 ","$5,436 ","$5,731 ","$5,848 ","$5,803 ","$5,706 ","$5,825 ","$5,883 ","$5,702 ","$5,760 ","$5,882 ","$6,017 ","$6,108 ","$6,359 ","$6,524 ","$6,622 ","$6,647 ","$6,465 ","$6,418 ","$6,269 ","$6,164 ","$6,461 ","$6,425 ","$6,211 ","$6,435 ","$6,576 ","$6,209 ","$6,331 ","$6,538 ","$6,639 ","$6,448 ","$6,783 ","$6,761 ","$6,784 ","$6,721 ","$6,841 ","$6,941 ","$7,135 ","$7,005 ","$7,434 ","$7,325 ","$7,481 ","$7,569 ","$7,649 ","$7,863 ","$7,851 ","$8,408 ","$8,511 ","$8,501 ","$8,663 ","$8,719 ","$9,076 ","$8,770 ","$9,459 ","$9,297 ","$9,087 ","$8,955 ","$8,439 ","$8,468 ","$7,755 ","$7,932 ","$7,316 ","$7,261 ","$7,174 ","$7,331 ","$7,266 ","$7,275 ","$7,583 ","$7,724 ","$7,724 ","$8,014 ","$7,943 ","$8,068 ","$8,373 ","$8,448 ","$8,563 ","$8,299 ","$8,830 ","$8,844 ","$8,960 ","$9,032 ","$9,204 ","$9,376 ","$9,339 ","$9,585 ","$9,428 ","$9,312 ","$9,597 ","$10,028 ","$10,123 ","$10,289 ","$10,106 ","$9,979 ","$9,835 ","$9,983 ","$9,998 ","$9,967 ","$9,824 ","$10,273 ","$10,464 ","$10,608 ","$10,509 ","$10,645 ","$10,438 ","$10,915 ","$10,890 ","$10,450 ","$10,859 ","$10,870 ","$11,394 ","$11,405 ","$11,559 ","$11,472 ","$11,436 ","$11,538 ","$11,780 ","$11,398 ","$11,674 ","$11,837 ","$11,904 ","$12,055 ","$12,272 ","$12,379 ","$12,198 ","$12,110 ","$12,304 ","$12,356 ","$12,465 ","$12,515 ","$12,634 ","$12,638 ","$12,654 ","$12,712 ","$12,811 ","$12,785 ","$12,892 ","$12,979 ","$13,223 ","$13,518 ","$13,266 ","$13,183 ","$13,216 ","$13,024 ","$13,045 ","$13,040 ","$12,928 ","$12,845 ","$12,839 ","$12,514 ","$12,516 ","$12,551 ","$12,685 ","$12,872 ","$13,251 ","$12,906 ","$12,872 ","$12,893 ","$12,782 "
Exports (Receipts),Medical/Education/Workers Spending,"$1,372 ","$1,377 ","$1,385 ","$1,391 ","$1,400 ","$1,409 ","$1,410 ","$1,415 ","$1,422 ","$1,433 ","$1,436 ","$1,436 ","$1,430 ","$1,432 ","$1,445 ","$1,458 ","$1,473 ","$1,480 ","$1,484 ","$1,491 ","$1,504 ","$1,531 ","$1,545 ","$1,552 ","$1,559 ","$1,555 ","$1,557 ","$1,567 ","$1,578 ","$1,589 ","$1,603 ","$1,616 ","$1,635 ","$1,663 ","$1,681 ","$1,680 ","$1,687 ","$1,691 ","$1,707 ","$1,724 ","$1,735 ","$1,734 ","$1,734 ","$1,733 ","$1,742 ","$1,762 ","$1,769 ","$1,760 ","$1,783 ","$1,792 ","$1,796 ","$1,790 ","$1,784 ","$1,786 ","$1,802 ","$1,817 ","$1,823 ","$1,823 ","$1,821 ","$1,827 ","$1,843 ","$1,860 ","$1,877 ","$1,896 ","$1,901 ","$1,896 ","$1,898 ","$1,897 ","$1,892 ","$1,893 ","$1,903 ","$1,928 ","$1,964 ","$1,990 ","$2,011 ","$2,020 ","$2,035 ","$2,048 ","$2,059 ","$2,069 ","$2,070 ","$2,066 ","$2,065 ","$2,071 ","$2,078 ","$2,087 ","$2,098 ","$2,112 ","$2,121 ","$2,126 ","$2,123 ","$2,132 ","$2,149 ","$2,183 ","$2,188 ","$2,171 ","$2,127 ","$2,110 ","$2,116 ","$2,143 ","$2,165 ","$2,179 ","$2,182 ","$2,195 ","$2,212 ","$2,251 ","$2,287 ","$2,337 ","$2,385 ","$2,421 ","$2,425 ","$2,398 ","$2,385 ","$2,385 ","$2,393 ","$2,414 ","$2,442 ","$2,488 ","$2,504 ","$2,502 ","$2,463 ","$2,447 ","$2,440 ","$2,443 ","$2,445 ","$2,445 ","$2,453 ","$2,447 ","$2,437 ","$2,406 ","$2,398 ","$2,399 ","$2,418 ","$2,431 ","$2,452 ","$2,482 ","$2,505 ","$2,523 ","$2,536 ","$2,546 ","$2,554 ","$2,558 ","$2,569 ","$2,583 ","$2,613 ","$2,614 ","$2,620 ","$2,630 ","$2,648 ","$2,675 ","$2,709 ","$2,732 ","$2,743 ","$2,741 ","$2,745 ","$2,753 ","$2,778 ","$2,804 ","$2,830 ","$2,858 ","$2,883 ","$2,908 ","$2,931 ","$2,950 ","$2,965 ","$2,975 ","$2,991 ","$3,013 ","$3,022 ","$3,050 ","$3,079 ","$3,108 ","$3,135 ","$3,159 ","$3,181 ","$3,206 ","$3,234 ","$3,266 ","$3,289 ","$3,303 ","$3,311 ","$3,332 ","$3,367 ","$3,415 ","$3,459 ","$3,497 ","$3,531 ","$3,564 ","$3,599 ","$3,634 ","$3,670 ","$3,708 ","$3,746 ","$3,783 ","$3,820 ","$3,857 ","$3,895 ","$3,934 ","$3,974 ","$4,015 ","$4,058 ","$4,102 ","$4,151 ","$4,207 ","$4,232 ","$4,258 ","$4,286 ","$4,309 ","$4,347 ","$4,401 ","$4,462 ","$4,513 ","$4,552 ","$4,577 ","$4,602 ","$4,625 ","$4,647 "
Exports (Receipts),Passenger Fare Receipts,"$1,551 ","$1,564 ","$1,635 ","$1,566 ","$1,597 ","$1,614 ","$1,642 ","$1,657 ","$1,723 ","$1,662 ","$1,710 ","$1,504 ","$1,558 ","$1,678 ","$1,631 ","$1,825 ","$1,689 ","$1,696 ","$1,666 ","$1,674 ","$1,723 ","$1,680 ","$1,721 ","$1,656 ","$1,731 ","$1,594 ","$1,587 ","$1,542 ","$1,562 ","$1,584 ","$1,607 ","$1,692 ","$1,030 ","$1,027 ","$1,074 ","$1,151 ","$1,327 ","$1,348 ","$1,357 ","$1,296 ","$1,412 ","$1,392 ","$1,330 ","$1,458 ","$1,322 ","$1,347 ","$1,351 ","$1,351 ","$1,241 ","$1,242 ","$1,159 ","$1,059 ","$1,152 ","$1,212 ","$1,276 ","$1,312 ","$1,314 ","$1,328 ","$1,382 ","$1,414 ","$1,395 ","$1,451 ","$1,474 ","$1,507 ","$1,477 ","$1,449 ","$1,550 ","$1,567 ","$1,530 ","$1,432 ","$1,521 ","$1,579 ","$1,558 ","$1,587 ","$1,639 ","$1,697 ","$1,728 ","$1,702 ","$1,831 ","$1,771 ","$1,810 ","$1,804 ","$1,718 ","$1,764 ","$1,826 ","$1,701 ","$1,745 ","$1,781 ","$1,803 ","$1,782 ","$1,846 ","$1,839 ","$1,868 ","$1,792 ","$1,821 ","$1,834 ","$1,872 ","$1,860 ","$1,973 ","$1,922 ","$1,963 ","$1,981 ","$2,090 ","$2,102 ","$2,193 ","$2,369 ","$2,390 ","$2,472 ","$2,462 ","$2,443 ","$2,560 ","$2,454 ","$2,595 ","$2,776 ","$2,725 ","$2,789 ","$2,580 ","$2,541 ","$2,458 ","$2,574 ","$2,432 ","$2,304 ","$2,240 ","$2,239 ","$2,069 ","$2,090 ","$2,086 ","$2,132 ","$2,114 ","$2,107 ","$2,104 ","$2,186 ","$2,232 ","$2,354 ","$2,450 ","$2,331 ","$2,598 ","$2,720 ","$2,757 ","$2,651 ","$2,750 ","$2,779 ","$2,702 ","$2,662 ","$2,809 ","$2,743 ","$2,885 ","$2,940 ","$3,025 ","$3,015 ","$3,251 ","$3,265 ","$3,208 ","$3,236 ","$3,221 ","$3,165 ","$3,086 ","$3,233 ","$3,334 ","$3,333 ","$3,416 ","$3,399 ","$3,267 ","$3,305 ","$3,225 ","$3,181 ","$3,291 ","$3,294 ","$3,330 ","$3,313 ","$3,374 ","$3,373 ","$3,402 ","$3,393 ","$3,501 ","$3,363 ","$3,452 ","$3,417 ","$3,483 ","$3,612 ","$3,488 ","$3,414 ","$3,443 ","$3,661 ","$3,664 ","$3,674 ","$3,736 ","$3,818 ","$3,809 ","$3,813 ","$3,715 ","$3,836 ","$3,668 ","$3,515 ","$3,518 ","$3,475 ","$3,479 ","$3,526 ","$3,475 ","$3,395 ","$3,376 ","$3,389 ","$3,475 ","$3,413 ","$3,448 ","$3,286 ","$3,407 ","$3,229 ","$3,120 ","$3,146 ","$3,088 ","$3,134 ","$3,141 ","$3,273 ","$3,411 ","$3,465 ","$3,399 "
Imports (Payments),Total Travel and Tourism-Related Imports,"$6,348 ","$6,446 ","$6,596 ","$6,320 ","$6,233 ","$6,212 ","$6,419 ","$6,449 ","$6,524 ","$6,831 ","$6,985 ","$6,353 ","$6,696 ","$7,049 ","$7,151 ","$7,247 ","$7,287 ","$7,435 ","$7,379 ","$7,397 ","$7,566 ","$6,961 ","$7,043 ","$6,973 ","$6,995 ","$7,006 ","$7,046 ","$7,415 ","$7,006 ","$6,898 ","$7,340 ","$7,510 ","$5,709 ","$5,367 ","$5,573 ","$5,800 ","$6,324 ","$6,543 ","$6,326 ","$6,305 ","$6,259 ","$6,481 ","$6,009 ","$5,883 ","$6,291 ","$6,601 ","$6,595 ","$6,764 ","$6,486 ","$6,400 ","$6,131 ","$5,749 ","$5,906 ","$6,114 ","$6,937 ","$7,185 ","$7,005 ","$7,013 ","$7,065 ","$7,135 ","$7,380 ","$7,731 ","$7,591 ","$7,817 ","$7,896 ","$7,933 ","$7,843 ","$8,028 ","$7,973 ","$7,899 ","$8,026 ","$8,118 ","$8,261 ","$8,333 ","$8,428 ","$8,377 ","$8,327 ","$8,352 ","$8,438 ","$8,307 ","$8,761 ","$8,655 ","$8,596 ","$8,584 ","$8,543 ","$8,595 ","$8,803 ","$8,912 ","$9,020 ","$8,781 ","$8,838 ","$8,725 ","$8,921 ","$9,137 ","$9,291 ","$9,283 ","$9,097 ","$9,118 ","$9,232 ","$9,355 ","$9,205 ","$9,156 ","$9,266 ","$9,531 ","$9,535 ","$9,823 ","$9,845 ","$9,624 ","$10,228 ","$10,374 ","$10,145 ","$10,117 ","$10,240 ","$10,069 ","$10,039 ","$10,025 ","$9,754 ","$9,696 ","$9,748 ","$9,402 ","$8,670 ","$8,711 ","$8,507 ","$8,561 ","$8,001 ","$7,997 ","$8,567 ","$8,784 ","$8,837 ","$8,786 ","$8,808 ","$8,723 ","$8,832 ","$8,917 ","$8,934 ","$8,663 ","$9,261 ","$9,218 ","$9,216 ","$9,158 ","$9,418 ","$9,533 ","$9,453 ","$9,445 ","$9,296 ","$9,100 ","$9,350 ","$9,760 ","$9,776 ","$9,735 ","$9,882 ","$9,661 ","$9,858 ","$9,993 ","$10,076 ","$9,959 ","$10,382 ","$10,876 ","$10,877 ","$10,818 ","$10,861 ","$10,836 ","$10,885 ","$10,729 ","$11,009 ","$10,862 ","$10,915 ","$10,855 ","$10,666 ","$10,720 ","$10,863 ","$10,672 ","$10,743 ","$10,753 ","$10,791 ","$10,757 ","$10,956 ","$10,951 ","$11,105 ","$11,171 ","$11,304 ","$11,296 ","$11,465 ","$11,625 ","$11,766 ","$11,866 ","$11,771 ","$11,806 ","$11,776 ","$11,937 ","$11,895 ","$11,912 ","$12,098 ","$12,043 ","$12,140 ","$12,201 ","$12,275 ","$12,267 ","$12,362 ","$12,394 ","$12,436 ","$12,703 ","$12,768 ","$12,679 ","$12,992 ","$12,982 ","$13,008 ","$13,184 ","$13,144 ","$12,949 ","$13,079 ","$13,212 ","$13,593 ","$13,735 ","$13,501 ","$13,532 ","$13,614 "
Imports (Payments),Travel Payments (for all purposes including education),"$4,881 ","$4,950 ","$5,057 ","$4,844 ","$4,781 ","$4,761 ","$4,941 ","$4,943 ","$4,987 ","$5,229 ","$5,349 ","$4,867 ","$5,131 ","$5,363 ","$5,460 ","$5,528 ","$5,598 ","$5,733 ","$5,659 ","$5,643 ","$5,752 ","$5,281 ","$5,311 ","$5,328 ","$5,353 ","$5,342 ","$5,398 ","$5,617 ","$5,281 ","$5,228 ","$5,528 ","$5,652 ","$4,308 ","$4,139 ","$4,341 ","$4,547 ","$5,007 ","$5,177 ","$5,003 ","$4,983 ","$4,932 ","$5,083 ","$4,652 ","$4,557 ","$4,881 ","$5,103 ","$5,242 ","$5,322 ","$5,097 ","$5,016 ","$4,808 ","$4,427 ","$4,606 ","$4,783 ","$5,387 ","$5,578 ","$5,462 ","$5,539 ","$5,529 ","$5,650 ","$5,787 ","$6,089 ","$5,985 ","$6,130 ","$6,229 ","$6,167 ","$6,158 ","$6,292 ","$6,293 ","$6,218 ","$6,315 ","$6,359 ","$6,534 ","$6,592 ","$6,677 ","$6,596 ","$6,595 ","$6,613 ","$6,660 ","$6,550 ","$6,882 ","$6,822 ","$6,732 ","$6,735 ","$6,720 ","$6,722 ","$6,950 ","$7,008 ","$7,124 ","$6,931 ","$6,997 ","$6,854 ","$7,035 ","$7,210 ","$7,307 ","$7,349 ","$7,293 ","$7,287 ","$7,387 ","$7,429 ","$7,321 ","$7,256 ","$7,291 ","$7,456 ","$7,454 ","$7,748 ","$7,753 ","$7,559 ","$8,043 ","$8,142 ","$7,989 ","$7,902 ","$8,017 ","$7,801 ","$7,707 ","$7,747 ","$7,463 ","$7,290 ","$7,314 ","$7,130 ","$6,748 ","$6,787 ","$6,719 ","$6,833 ","$6,329 ","$6,342 ","$6,818 ","$7,012 ","$7,053 ","$6,967 ","$6,936 ","$6,876 ","$7,011 ","$7,141 ","$7,113 ","$6,806 ","$7,323 ","$7,316 ","$7,255 ","$7,188 ","$7,390 ","$7,408 ","$7,336 ","$7,335 ","$7,152 ","$6,985 ","$7,153 ","$7,591 ","$7,586 ","$7,606 ","$7,610 ","$7,447 ","$7,533 ","$7,656 ","$7,702 ","$7,678 ","$8,021 ","$8,369 ","$8,375 ","$8,304 ","$8,359 ","$8,328 ","$8,382 ","$8,299 ","$8,507 ","$8,462 ","$8,508 ","$8,426 ","$8,089 ","$8,126 ","$8,209 ","$8,026 ","$8,051 ","$8,043 ","$8,097 ","$8,139 ","$8,236 ","$8,319 ","$8,376 ","$8,408 ","$8,543 ","$8,514 ","$8,665 ","$8,697 ","$8,802 ","$8,929 ","$8,820 ","$8,837 ","$8,760 ","$8,990 ","$8,980 ","$8,992 ","$9,176 ","$9,154 ","$9,213 ","$9,265 ","$9,310 ","$9,314 ","$9,354 ","$9,379 ","$9,476 ","$9,724 ","$9,737 ","$9,770 ","$9,941 ","$9,895 ","$9,964 ","$10,015 ","$9,932 ","$9,855 ","$9,989 ","$10,156 ","$10,393 ","$10,489 ","$10,407 ","$10,488 ","$10,477 "
Imports (Payments),Travel Spending,"$4,700 ","$4,767 ","$4,872 ","$4,656 ","$4,592 ","$4,570 ","$4,748 ","$4,749 ","$4,792 ","$5,035 ","$5,153 ","$4,669 ","$4,929 ","$5,159 ","$5,254 ","$5,319 ","$5,387 ","$5,521 ","$5,445 ","$5,427 ","$5,534 ","$5,062 ","$5,090 ","$5,107 ","$5,127 ","$5,115 ","$5,169 ","$5,387 ","$5,049 ","$4,994 ","$5,293 ","$5,415 ","$4,071 ","$3,888 ","$4,086 ","$4,291 ","$4,759 ","$4,929 ","$4,753 ","$4,728 ","$4,674 ","$4,822 ","$4,390 ","$4,290 ","$4,610 ","$4,823 ","$4,956 ","$5,030 ","$4,789 ","$4,700 ","$4,488 ","$4,110 ","$4,291 ","$4,468 ","$5,072 ","$5,262 ","$5,144 ","$5,219 ","$5,204 ","$5,319 ","$5,426 ","$5,722 ","$5,615 ","$5,757 ","$5,855 ","$5,790 ","$5,776 ","$5,907 ","$5,906 ","$5,832 ","$5,927 ","$5,964 ","$6,127 ","$6,179 ","$6,260 ","$6,178 ","$6,176 ","$6,192 ","$6,242 ","$6,128 ","$6,454 ","$6,377 ","$6,277 ","$6,269 ","$6,247 ","$6,240 ","$6,463 ","$6,519 ","$6,632 ","$6,436 ","$6,494 ","$6,351 ","$6,534 ","$6,726 ","$6,826 ","$6,867 ","$6,799 ","$6,786 ","$6,878 ","$6,911 ","$6,796 ","$6,726 ","$6,755 ","$6,918 ","$6,916 ","$7,216 ","$7,219 ","$7,021 ","$7,496 ","$7,587 ","$7,428 ","$7,335 ","$7,446 ","$7,225 ","$7,126 ","$7,164 ","$6,878 ","$6,707 ","$6,729 ","$6,543 ","$6,166 ","$6,205 ","$6,137 ","$6,250 ","$5,745 ","$5,756 ","$6,230 ","$6,423 ","$6,463 ","$6,380 ","$6,347 ","$6,283 ","$6,409 ","$6,532 ","$6,498 ","$6,186 ","$6,699 ","$6,688 ","$6,625 ","$6,554 ","$6,751 ","$6,763 ","$6,686 ","$6,680 ","$6,492 ","$6,324 ","$6,490 ","$6,927 ","$6,920 ","$6,937 ","$6,937 ","$6,772 ","$6,857 ","$6,981 ","$7,026 ","$6,999 ","$7,333 ","$7,673 ","$7,673 ","$7,597 ","$7,649 ","$7,616 ","$7,669 ","$7,584 ","$7,790 ","$7,736 ","$7,777 ","$7,691 ","$7,353 ","$7,385 ","$7,462 ","$7,274 ","$7,294 ","$7,282 ","$7,332 ","$7,371 ","$7,465 ","$7,544 ","$7,596 ","$7,622 ","$7,748 ","$7,711 ","$7,856 ","$7,883 ","$7,984 ","$8,107 ","$7,993 ","$8,007 ","$7,927 ","$8,155 ","$8,142 ","$8,151 ","$8,331 ","$8,305 ","$8,359 ","$8,407 ","$8,447 ","$8,446 ","$8,481 ","$8,501 ","$8,596 ","$8,842 ","$8,853 ","$8,883 ","$9,050 ","$9,000 ","$9,062 ","$9,104 ","$9,014 ","$8,932 ","$9,063 ","$9,227 ","$9,463 ","$9,559 ","$9,474 ","$9,549 ","$9,530 "
